series_id,commodity,variable,importance,type,split
Onions_Bathinda,Onions,yoy_change,0.03253330662846565,encoder,train
Onions_Bathinda,Onions,rain_deficit,0.16355089843273163,encoder,train
Onions_Bathinda,Onions,rain_excess,0.12881238758563995,encoder,train
Onions_Bathinda,Onions,heat_stress,0.013268684037029743,encoder,train
Onions_Bathinda,Onions,cold_stress,0.03536159172654152,encoder,train
Onions_Bengaluru,Onions,season,0.09243770688772202,encoder,train
Onions_Bengaluru,Onions,time_idx,0.009168355725705624,encoder,train
Onions_Bengaluru,Onions,year,0.0760861486196518,encoder,train
Onions_Bengaluru,Onions,month,0.02199661172926426,encoder,train
Onions_Bengaluru,Onions,month_sin,0.01696387678384781,encoder,train
Onions_Bengaluru,Onions,month_cos,0.01979256048798561,encoder,train
Onions_Bengaluru,Onions,covid_lockdown,0.04660344496369362,encoder,train
Onions_Bengaluru,Onions,relative_time_idx,0.01708386279642582,encoder,train
Onions_Bengaluru,Onions,log_price,0.15052521228790283,encoder,train
Onions_Bengaluru,Onions,temperature_mean,0.146281436085701,encoder,train
Onions_Bengaluru,Onions,rainfall_monthly,0.007311699446290731,encoder,train
Onions_Bengaluru,Onions,humidity_mean,0.05404840409755707,encoder,train
Onions_Bengaluru,Onions,price_lag_1m,0.034298378974199295,encoder,train
Onions_Bengaluru,Onions,price_lag_12m,0.01740877889096737,encoder,train
Onions_Bengaluru,Onions,rolling_3m,0.015771521255373955,encoder,train
Onions_Bengaluru,Onions,rolling_6m,0.02580275572836399,encoder,train
Onions_Bengaluru,Onions,yoy_change,0.023896491155028343,encoder,train
Onions_Bengaluru,Onions,rain_deficit,0.06142638996243477,encoder,train
Onions_Bengaluru,Onions,rain_excess,0.12362677603960037,encoder,train
Onions_Bengaluru,Onions,heat_stress,0.009868464432656765,encoder,train
Onions_Bengaluru,Onions,cold_stress,0.02960115484893322,encoder,train
Onions_Bhagalpur,Onions,season,0.037188488990068436,encoder,train
Onions_Bhagalpur,Onions,time_idx,0.011854897253215313,encoder,train
Onions_Bhagalpur,Onions,year,0.05909086391329765,encoder,train
Onions_Bhagalpur,Onions,month,0.008784337900578976,encoder,train
Onions_Bhagalpur,Onions,month_sin,0.037568796426057816,encoder,train
Onions_Bhagalpur,Onions,month_cos,0.028241002932190895,encoder,train
Onions_Bhagalpur,Onions,covid_lockdown,0.05831511691212654,encoder,train
Onions_Bhagalpur,Onions,relative_time_idx,0.029399462044239044,encoder,train
Onions_Bhagalpur,Onions,log_price,0.047125354409217834,encoder,train
Onions_Bhagalpur,Onions,temperature_mean,0.12423589825630188,encoder,train
Onions_Bhagalpur,Onions,rainfall_monthly,0.004158379975706339,encoder,train
Onions_Bhagalpur,Onions,humidity_mean,0.07912252098321915,encoder,train
Onions_Bhagalpur,Onions,price_lag_1m,0.03440522029995918,encoder,train
Onions_Bhagalpur,Onions,price_lag_12m,0.03375382721424103,encoder,train
Onions_Bhagalpur,Onions,rolling_3m,0.014321990311145782,encoder,train
Onions_Bhagalpur,Onions,rolling_6m,0.05396990850567818,encoder,train
Onions_Bhagalpur,Onions,yoy_change,0.02172463946044445,encoder,train
